層名,   上側節点UX,   下側節点UX,   上側節点UY,   下側節点UY,   上側節点TZ,   下側節点TZ
ZS08, 9.82684E-001, 9.50850E-001,-2.76019E-002,-2.61426E-002, 5.15356E-003, 5.03283E-003
ZS07, 9.50850E-001, 9.17872E-001,-2.61426E-002,-2.41855E-002, 5.03283E-003, 4.88441E-003
ZS06, 9.17872E-001, 8.84795E-001,-2.41855E-002,-2.16862E-002, 4.88441E-003, 4.73664E-003
ZS05, 8.84795E-001, 8.54165E-001,-2.16862E-002,-1.87040E-002, 4.73664E-003, 4.61022E-003
ZS04, 8.54165E-001, 8.15770E-001,-1.87040E-002,-1.53452E-002, 4.61022E-003, 4.37689E-003
ZS03, 8.15770E-001, 6.33280E-001,-1.53452E-002,-1.05208E-002, 4.37689E-003, 3.35475E-003
ZS02, 6.33280E-001, 3.49730E-003,-1.05208E-002,-4.06006E-005, 3.35475E-003, 1.51049E-005
ZS01, 3.49730E-003, 0.00000E+000,-4.06006E-005, 0.00000E+000, 1.51049E-005, 0.00000E+000
