,DriftVelocityU,Time,DriftVelocityV,Time
ZS08, 1.62357E-002, 1.97554E+001, 1.14791E-002, 2.11582E+001
ZS07, 1.65229E-002, 1.97554E+001, 1.56536E-002, 2.11589E+001
ZS06, 1.63504E-002, 1.97526E+001, 2.07239E-002, 2.11491E+001
ZS05, 1.55976E-002, 1.97498E+001, 2.73108E-002, 2.09321E+001
ZS04, 1.72094E-002, 1.97477E+001, 3.27805E-002, 2.09405E+001
ZS03, 9.24581E-002, 1.97449E+001, 3.42383E-002, 2.09475E+001
ZS02, 3.55250E-001, 1.97372E+001, 7.33617E-002, 1.99136E+001
ZS01, 6.89840E-004, 1.97456E+001, 2.90286E-004, 2.09419E+001
ZS08_SumW, 1.62357E-002, 1.97554E+001, 1.14791E-002, 2.11582E+001
ZS07_SumW, 1.65229E-002, 1.97554E+001, 1.56536E-002, 2.11589E+001
ZS06_SumW, 1.63504E-002, 1.97526E+001, 2.07239E-002, 2.11491E+001
ZS05_SumW, 1.55976E-002, 1.97498E+001, 2.73108E-002, 2.09321E+001
ZS04_SumW, 1.72094E-002, 1.97477E+001, 3.27805E-002, 2.09405E+001
ZS08_SumElemWithoutDamper, 1.62357E-002, 1.97554E+001, 1.14791E-002, 2.11582E+001
ZS07_SumElemWithoutDamper, 1.65229E-002, 1.97554E+001, 1.56536E-002, 2.11589E+001
ZS06_SumElemWithoutDamper, 1.63504E-002, 1.97526E+001, 2.07239E-002, 2.11491E+001
ZS05_SumElemWithoutDamper, 1.55976E-002, 1.97498E+001, 2.73108E-002, 2.09321E+001
ZS04_SumElemWithoutDamper, 1.72094E-002, 1.97477E+001, 3.27805E-002, 2.09405E+001
ZS03_SumElemWithoutDamper, 9.24581E-002, 1.97449E+001, 3.42383E-002, 2.09475E+001
ZS02_SumElemWithoutDamper, 3.55250E-001, 1.97372E+001, 7.33617E-002, 1.99136E+001
ZS01_SumElemWithoutDamper, 6.89840E-004, 1.97456E+001, 2.90286E-004, 2.09419E+001
ZS08_SumElem_Column:RC, 1.62357E-002, 1.97554E+001, 1.14791E-002, 2.11582E+001
ZS07_SumElem_Column:RC, 1.65229E-002, 1.97554E+001, 1.56536E-002, 2.11589E+001
ZS06_SumElem_Column:RC, 1.63504E-002, 1.97526E+001, 2.07239E-002, 2.11491E+001
ZS05_SumElem_Column:RC, 1.55976E-002, 1.97498E+001, 2.73108E-002, 2.09321E+001
ZS04_SumElem_Column:RC, 1.72094E-002, 1.97477E+001, 3.27805E-002, 2.09405E+001
ZS03_SumElem_Column:RC, 9.24581E-002, 1.97449E+001, 3.42383E-002, 2.09475E+001
ZS02_SumElem_Column:RC, 3.55250E-001, 1.97372E+001, 7.33617E-002, 1.99136E+001
ZS01_SumElem_Column:RC, 6.89840E-004, 1.97456E+001, 2.90286E-004, 2.09419E+001
ZS08_SumElem_Wall:BearingWall, 1.62357E-002, 1.97554E+001, 1.14791E-002, 2.11582E+001
ZS07_SumElem_Wall:BearingWall, 1.65229E-002, 1.97554E+001, 1.56536E-002, 2.11589E+001
ZS06_SumElem_Wall:BearingWall, 1.63504E-002, 1.97526E+001, 2.07239E-002, 2.11491E+001
ZS05_SumElem_Wall:BearingWall, 1.55976E-002, 1.97498E+001, 2.73108E-002, 2.09321E+001
ZS04_SumElem_Wall:BearingWall, 1.72094E-002, 1.97477E+001, 3.27805E-002, 2.09405E+001
ZS08_SumForLm_0, 1.62357E-002, 1.97554E+001, 1.14791E-002, 2.11582E+001
ZS07_SumForLm_0, 1.65229E-002, 1.97554E+001, 1.56536E-002, 2.11589E+001
ZS06_SumForLm_0, 1.63504E-002, 1.97526E+001, 2.07239E-002, 2.11491E+001
ZS05_SumForLm_0, 1.55976E-002, 1.97498E+001, 2.73108E-002, 2.09321E+001
ZS04_SumForLm_0, 1.72094E-002, 1.97477E+001, 3.27805E-002, 2.09405E+001
ZS03_SumForLm_0, 9.24581E-002, 1.97449E+001, 3.42383E-002, 2.09475E+001
ZS02_SumForLm_0, 3.55250E-001, 1.97372E+001, 7.33617E-002, 1.99136E+001
ZS01_SumForLm_0, 6.89840E-004, 1.97456E+001, 2.90286E-004, 2.09419E+001
ZS08_StiffCenter, 1.62354E-002, 1.97554E+001, 1.13937E-002, 2.11582E+001
ZS07_StiffCenter, 1.65229E-002, 1.97554E+001, 1.59269E-002, 2.11582E+001
ZS06_StiffCenter, 1.63503E-002, 1.97526E+001, 2.10207E-002, 2.11491E+001
ZS05_StiffCenter, 1.55970E-002, 1.97498E+001, 2.75973E-002, 2.09321E+001
ZS04_StiffCenter, 1.72103E-002, 1.97477E+001, 3.30782E-002, 2.09398E+001
ZS03_StiffCenter, 9.24563E-002, 1.97449E+001, 3.52146E-002, 2.09461E+001
ZS02_StiffCenter, 3.55251E-001, 1.97372E+001, 6.45817E-002, 2.09356E+001
ZS01_StiffCenter, 6.89841E-004, 1.97456E+001, 1.96162E-004, 1.99010E+001
