,DisU,Time,DisV,Time,VelU,Time,VelV,Time,AccU,Time,AccV,Time,AbsAcc,Degree,Time
ZS08, 5.80260E-002, 1.95769E+001, 1.67253E-002, 1.97491E+001, 5.28278E-001, 1.97449E+001, 1.99965E-001, 2.09447E+001, 4.86994E+000, 1.95300E+001, 2.76309E+000, 2.08411E+001, 4.88077E+000,-9.98E+000, 1.96021E+001
ZS07, 5.64709E-002, 1.95769E+001, 1.60345E-002, 1.97505E+001, 5.12395E-001, 1.97442E+001, 1.90223E-001, 2.09433E+001, 4.74068E+000, 1.95363E+001, 2.58948E+000, 2.08369E+001, 4.76161E+000,-8.74E+000, 1.95951E+001
ZS06, 5.48908E-002, 1.95769E+001, 1.51266E-002, 1.97533E+001, 4.96245E-001, 1.97435E+001, 1.75527E-001, 2.09440E+001, 4.67033E+000, 1.95566E+001, 2.39308E+000, 2.08194E+001, 4.68151E+000,-3.96E+000, 1.95573E+001
ZS05, 5.33123E-002, 1.95762E+001, 1.39141E-002, 1.97589E+001, 4.80102E-001, 1.97428E+001, 1.55257E-001, 2.09461E+001, 4.60912E+000, 1.95573E+001, 2.15275E+000, 2.08166E+001, 4.63382E+000,-5.98E+000, 1.95594E+001
ZS04, 5.18129E-002, 1.95762E+001, 1.23913E-002, 1.97645E+001, 4.64690E-001, 1.97414E+001, 1.28778E-001, 2.09454E+001, 4.55093E+000, 1.95622E+001, 1.91135E+000, 2.07942E+001, 4.59698E+000,-8.13E+000, 1.95629E+001
ZS03, 5.01425E-002, 1.95762E+001, 1.07517E-002, 1.97701E+001, 4.47856E-001, 1.97407E+001, 1.04387E-001, 1.99080E+001, 4.48317E+000, 1.95608E+001, 1.78391E+000, 1.97652E+001, 4.54436E+000,-9.41E+000, 1.95608E+001
ZS02, 4.03921E-002, 1.95762E+001, 7.85384E-003, 1.97736E+001, 3.55928E-001, 1.97372E+001, 7.35516E-002, 1.99136E+001, 3.94787E+000, 1.95741E+001, 1.74049E+000, 1.97554E+001, 4.07603E+000,-1.44E+001, 1.95748E+001
ZS01, 7.23697E-005, 1.95622E+001, 1.86304E-005, 2.08131E+001, 6.89840E-004, 1.97456E+001, 2.90286E-004, 2.09419E+001, 2.30035E+000, 1.90596E+001, 1.13799E+000, 1.96490E+001, 2.31053E+000,1.75E+002, 1.90596E+001
ZS08_SumW, 5.80260E-002, 1.95769E+001, 1.67253E-002, 1.97491E+001, 5.28278E-001, 1.97449E+001, 1.99965E-001, 2.09447E+001, 4.86994E+000, 1.95300E+001, 2.76309E+000, 2.08411E+001, 4.88077E+000,-9.98E+000, 1.96021E+001
ZS07_SumW, 5.64709E-002, 1.95769E+001, 1.60345E-002, 1.97505E+001, 5.12395E-001, 1.97442E+001, 1.90223E-001, 2.09433E+001, 4.74068E+000, 1.95363E+001, 2.58948E+000, 2.08369E+001, 4.76161E+000,-8.74E+000, 1.95951E+001
ZS06_SumW, 5.48908E-002, 1.95769E+001, 1.51266E-002, 1.97533E+001, 4.96245E-001, 1.97435E+001, 1.75527E-001, 2.09440E+001, 4.67033E+000, 1.95566E+001, 2.39308E+000, 2.08194E+001, 4.68151E+000,-3.96E+000, 1.95573E+001
ZS05_SumW, 5.33123E-002, 1.95762E+001, 1.39141E-002, 1.97589E+001, 4.80102E-001, 1.97428E+001, 1.55257E-001, 2.09461E+001, 4.60912E+000, 1.95573E+001, 2.15275E+000, 2.08166E+001, 4.63382E+000,-5.98E+000, 1.95594E+001
