層名,   上側節点UX,   下側節点UX,   上側節点UY,   下側節点UY,   上側節点TZ,   下側節点TZ
ZS08, 9.35634E-003, 1.87014E-003,-3.23811E-001, 1.49817E-001,-4.24065E-002,-2.14281E-002
ZS07, 1.87014E-003,-4.98628E-003, 1.49817E-001, 3.46934E-001,-2.14281E-002, 1.04449E-002
ZS06,-4.98628E-003,-8.97457E-003, 3.46934E-001, 8.71922E-002, 1.04449E-002, 5.99884E-002
ZS05,-8.97457E-003,-1.12318E-002, 8.71922E-002,-3.09828E-001, 5.99884E-002, 1.07373E-001
ZS04,-1.12318E-002,-9.40324E-003,-3.09828E-001,-3.70420E-001, 1.07373E-001, 1.00775E-001
ZS03,-9.40324E-003, 2.97631E-002,-3.70420E-001, 4.43166E-001, 1.00775E-001,-2.95384E-001
ZS02, 2.97631E-002, 2.52386E-004, 4.43166E-001, 6.30340E-004,-2.95384E-001,-2.18772E-003
