,DriftU,Time,ForceU,Time,DriftV,Time,ForceV,Time,ForceZ,Time,AbsDriftUV,Energy,Degree,Time
ZS08, 5.48944E-004, 5.87538E+001, 3.82211E+004, 4.82188E+001, 6.54793E-004, 4.81747E+001, 4.11630E+004, 4.81649E+001, 5.58252E+003, 4.68986E+001, 7.63141E-004, 2.59388E+001, 122.53, 4.81887E+001
ZS07, 5.61346E-004, 5.87531E+001, 8.03766E+004, 4.82188E+001, 9.48394E-004, 4.81712E+001, 8.70419E+004, 4.81663E+001, 1.21100E+004, 4.68979E+001, 1.02391E-003, 7.09796E+001, 112.43, 4.81754E+001
ZS06, 5.63349E-004, 5.87531E+001, 1.20176E+005, 4.57345E+001, 1.33035E-003, 4.81684E+001, 1.29036E+005, 4.81663E+001, 1.85453E+004, 4.68979E+001, 1.38317E-003, 1.37794E+002, 105.98, 4.81705E+001
ZS05, 5.35324E-004, 5.87524E+001, 1.58300E+005, 4.57366E+001, 1.73488E-003, 4.81649E+001, 1.66329E+005, 4.81635E+001, 2.48921E+004, 4.68979E+001, 1.76930E-003, 2.20131E+002, 101.34, 4.81656E+001
ZS04, 5.98235E-004, 5.87524E+001, 1.94713E+005, 4.57401E+001, 2.09425E-003, 4.81593E+001, 1.98991E+005, 4.81572E+001, 3.11202E+004, 4.68972E+001, 2.13191E-003, 3.14816E+002, 100.83, 4.81607E+001
ZS03, 3.32247E-003, 4.82111E+001, 2.27385E+005, 4.57429E+001, 2.57579E-003, 4.81684E+001, 2.26119E+005, 4.81481E+001, 3.66995E+004, 4.68972E+001, 4.09088E-003, 1.10260E+003, 142.98, 4.81943E+001
ZS02, 1.35419E-002, 4.57492E+001, 2.52398E+005, 4.57450E+001, 6.36728E-003, 4.85618E+001, 2.49535E+005, 4.81474E+001, 4.21041E+004, 4.68972E+001, 1.46678E-002, 4.86317E+003, 156.23, 4.82055E+001
ZS01, 3.06144E-005, 4.57443E+001, 2.52021E+005, 4.57450E+001, 1.77447E-005, 4.81453E+001, 2.55130E+005, 4.81446E+001, 4.41669E+004, 4.68965E+001, 3.31577E-005, 5.57183E+000, 151.74, 4.81866E+001
ZS08_SumW, 5.48944E-004, 5.87538E+001, 2.75992E+004, 4.57317E+001, 6.54793E-004, 4.81747E+001, 0.00000E+000, 0.00000E+000, 1.48489E+004, 5.54036E+001, 7.63141E-004, 7.50815E+000, 122.53, 4.81887E+001
ZS07_SumW, 5.61346E-004, 5.87531E+001, 6.97826E+004, 4.57331E+001, 9.48394E-004, 4.81712E+001, 0.00000E+000, 0.00000E+000, 2.40968E+004, 4.67775E+001, 1.02391E-003, 1.90785E+001, 112.43, 4.81754E+001
