層名,   上側節点UX,   下側節点UX,   上側節点UY,   下側節点UY,   上側節点TZ,   下側節点TZ
ZS08, 2.38978E-002, 2.31723E-002, 6.92361E-001, 6.59511E-001,-1.75804E-001,-1.72160E-001
ZS07, 2.31723E-002, 2.24560E-002, 6.59511E-001, 6.15696E-001,-1.72160E-001,-1.67929E-001
ZS06, 2.24560E-002, 2.17343E-002, 6.15696E-001, 5.59976E-001,-1.67929E-001,-1.63692E-001
ZS05, 2.17343E-002, 2.10635E-002, 5.59976E-001, 4.93982E-001,-1.63692E-001,-1.59634E-001
ZS04, 2.10635E-002, 2.03050E-002, 4.93982E-001, 4.20678E-001,-1.59634E-001,-1.54656E-001
ZS03, 2.03050E-002, 1.61773E-002, 4.20678E-001, 3.06178E-001,-1.54656E-001,-1.24362E-001
ZS02, 1.61773E-002, 7.28607E-005, 3.06178E-001, 8.85429E-004,-1.24362E-001,-4.16012E-004
ZS01, 7.28607E-005, 0.00000E+000, 8.85429E-004, 0.00000E+000,-4.16012E-004, 0.00000E+000
