層名,   上側節点UX,   下側節点UX,   上側節点UY,   下側節点UY,   上側節点TZ,   下側節点TZ
ZS08, 5.15951E-004, 1.72106E-004, 8.53442E-001, 4.72492E-001,-8.45844E-002,-6.25128E-002
ZS07, 1.72106E-004, 1.73900E-004, 4.72492E-001, 2.44635E-002,-6.25128E-002,-3.51149E-002
ZS06, 1.73900E-004, 1.58387E-004, 2.44635E-002,-3.96306E-001,-3.51149E-002,-9.06317E-003
ZS05, 1.58387E-004, 1.08078E-004,-3.96306E-001,-6.81151E-001,-9.06317E-003, 1.40902E-002
ZS04, 1.08078E-004, 2.92516E-006,-6.81151E-001,-7.54593E-001, 1.40902E-002, 3.30504E-002
ZS03, 2.92516E-006,-3.85868E-004,-7.54593E-001,-6.21581E-001, 3.30504E-002, 5.37076E-002
ZS02,-3.85868E-004, 6.67328E-006,-6.21581E-001,-5.43841E-003, 5.37076E-002,-5.52867E-004
ZS01, 6.67328E-006, 0.00000E+000,-5.43841E-003, 0.00000E+000,-5.52867E-004, 0.00000E+000
