層名,   上側節点UX,   下側節点UX,   上側節点UY,   下側節点UY,   上側節点TZ,   下側節点TZ
ZS08,-2.41424E-003,-1.58462E-003,-3.19366E-001,-1.23629E-001,-2.77809E-001,-1.76989E-001
ZS07,-1.58462E-003,-4.09510E-004,-1.23629E-001, 9.62428E-002,-1.76989E-001,-6.97029E-002
ZS06,-4.09510E-004, 7.67598E-004, 9.62428E-002, 2.51647E-001,-6.97029E-002, 3.51133E-002
ZS05, 7.67598E-004, 1.93161E-003, 2.51647E-001, 2.62251E-001, 3.51133E-002, 1.33580E-001
ZS04, 1.93161E-003, 2.84874E-003, 2.62251E-001, 1.13321E-001, 1.33580E-001, 2.21360E-001
ZS03, 2.84874E-003, 1.61232E-003, 1.13321E-001,-1.30540E-001, 2.21360E-001, 2.85276E-001
ZS02, 1.61232E-003, 6.18084E-005,-1.30540E-001, 3.29619E-003, 2.85276E-001, 2.11569E-003
ZS01, 6.18084E-005, 0.00000E+000, 3.29619E-003, 0.00000E+000, 2.11569E-003, 0.00000E+000
