,Story,MaxForceU,MaxForceV
ZS08,ZS08_SumElemWithoutDamper, 2.01067E+005, 1.24541E+005
ZS07,ZS07_SumElemWithoutDamper, 3.75030E+005, 2.19374E+005
ZS06,ZS06_SumElemWithoutDamper, 4.82673E+005, 2.80567E+005
ZS05,ZS05_SumElemWithoutDamper, 5.24534E+005, 3.68245E+005
ZS04,ZS04_SumElemWithoutDamper, 5.02928E+005, 4.48530E+005
ZS03,ZS03_SumElemWithoutDamper, 5.64676E+005, 4.97549E+005
ZS02,ZS02_SumElemWithoutDamper, 6.47352E+005, 5.16815E+005
ZS01,ZS01_SumElemWithoutDamper, 6.69353E+005, 5.31019E+005
ZS08_SumElemWithoutDamper,ZS08, 2.01067E+005, 1.24541E+005
ZS07_SumElemWithoutDamper,ZS07, 3.75030E+005, 2.19374E+005
ZS06_SumElemWithoutDamper,ZS06, 4.82673E+005, 2.80567E+005
ZS05_SumElemWithoutDamper,ZS05, 5.24534E+005, 3.68245E+005
ZS04_SumElemWithoutDamper,ZS04, 5.02928E+005, 4.48530E+005
ZS03_SumElemWithoutDamper,ZS03, 5.64676E+005, 4.97549E+005
ZS02_SumElemWithoutDamper,ZS02, 6.47352E+005, 5.16815E+005
ZS01_SumElemWithoutDamper,ZS01, 6.69353E+005, 5.31019E+005
