,Story,MaxForceU,MaxForceV
ZS08,ZS08_SumElemWithoutDamper, 7.89260E+004, 4.49304E+004
ZS07,ZS07_SumElemWithoutDamper, 1.69822E+005, 9.47952E+004
ZS06,ZS06_SumElemWithoutDamper, 2.58522E+005, 1.39893E+005
ZS05,ZS05_SumElemWithoutDamper, 3.46612E+005, 1.79793E+005
ZS04,ZS04_SumElemWithoutDamper, 4.34019E+005, 2.13775E+005
ZS03,ZS03_SumElemWithoutDamper, 5.14536E+005, 2.38880E+005
ZS02,ZS02_SumElemWithoutDamper, 5.86474E+005, 2.58969E+005
ZS01,ZS01_SumElemWithoutDamper, 5.97452E+005, 2.62134E+005
ZS08_SumElemWithoutDamper,ZS08, 7.89260E+004, 4.49304E+004
ZS07_SumElemWithoutDamper,ZS07, 1.69822E+005, 9.47952E+004
ZS06_SumElemWithoutDamper,ZS06, 2.58522E+005, 1.39893E+005
ZS05_SumElemWithoutDamper,ZS05, 3.46612E+005, 1.79793E+005
ZS04_SumElemWithoutDamper,ZS04, 4.34019E+005, 2.13775E+005
ZS03_SumElemWithoutDamper,ZS03, 5.14536E+005, 2.38880E+005
ZS02_SumElemWithoutDamper,ZS02, 5.86474E+005, 2.58969E+005
ZS01_SumElemWithoutDamper,ZS01, 5.97452E+005, 2.62134E+005
