,DriftVelocityU,Time,DriftVelocityV,Time
ZS08, 7.71722E-003, 4.80795E+001, 9.41010E-003, 4.92933E+001
ZS07, 7.80711E-003, 4.80830E+001, 1.24177E-002, 4.64198E+001
ZS06, 7.69785E-003, 4.80809E+001, 1.69848E-002, 4.64184E+001
ZS05, 7.24692E-003, 4.80788E+001, 2.13840E-002, 4.64177E+001
ZS04, 7.99492E-003, 4.80837E+001, 2.45060E-002, 4.64191E+001
ZS03, 3.87490E-002, 4.80893E+001, 2.77166E-002, 4.80298E+001
ZS02, 1.47472E-001, 4.58773E+001, 6.15214E-002, 4.64548E+001
ZS01, 3.52722E-004, 4.58724E+001, 2.49239E-004, 4.80214E+001
ZS08_SumW, 7.71722E-003, 4.80795E+001, 9.41010E-003, 4.92933E+001
ZS07_SumW, 7.80711E-003, 4.80830E+001, 1.24177E-002, 4.64198E+001
ZS06_SumW, 7.69785E-003, 4.80809E+001, 1.69848E-002, 4.64184E+001
ZS05_SumW, 7.24692E-003, 4.80788E+001, 2.13840E-002, 4.64177E+001
ZS04_SumW, 7.99492E-003, 4.80837E+001, 2.45060E-002, 4.64191E+001
ZS08_SumElemWithoutDamper, 7.71722E-003, 4.80795E+001, 9.41010E-003, 4.92933E+001
ZS07_SumElemWithoutDamper, 7.80711E-003, 4.80830E+001, 1.24177E-002, 4.64198E+001
ZS06_SumElemWithoutDamper, 7.69785E-003, 4.80809E+001, 1.69848E-002, 4.64184E+001
ZS05_SumElemWithoutDamper, 7.24692E-003, 4.80788E+001, 2.13840E-002, 4.64177E+001
ZS04_SumElemWithoutDamper, 7.99492E-003, 4.80837E+001, 2.45060E-002, 4.64191E+001
ZS03_SumElemWithoutDamper, 3.87490E-002, 4.80893E+001, 2.77166E-002, 4.80298E+001
ZS02_SumElemWithoutDamper, 1.47472E-001, 4.58773E+001, 6.15214E-002, 4.64548E+001
ZS01_SumElemWithoutDamper, 3.52722E-004, 4.58724E+001, 2.49239E-004, 4.80214E+001
ZS08_SumElem_Column:RC, 7.71722E-003, 4.80795E+001, 9.41010E-003, 4.92933E+001
ZS07_SumElem_Column:RC, 7.80711E-003, 4.80830E+001, 1.24177E-002, 4.64198E+001
ZS06_SumElem_Column:RC, 7.69785E-003, 4.80809E+001, 1.69848E-002, 4.64184E+001
ZS05_SumElem_Column:RC, 7.24692E-003, 4.80788E+001, 2.13840E-002, 4.64177E+001
ZS04_SumElem_Column:RC, 7.99492E-003, 4.80837E+001, 2.45060E-002, 4.64191E+001
ZS03_SumElem_Column:RC, 3.87490E-002, 4.80893E+001, 2.77166E-002, 4.80298E+001
ZS02_SumElem_Column:RC, 1.47472E-001, 4.58773E+001, 6.15214E-002, 4.64548E+001
ZS01_SumElem_Column:RC, 3.52722E-004, 4.58724E+001, 2.49239E-004, 4.80214E+001
ZS08_SumElem_Wall:BearingWall, 7.71722E-003, 4.80795E+001, 9.41010E-003, 4.92933E+001
ZS07_SumElem_Wall:BearingWall, 7.80711E-003, 4.80830E+001, 1.24177E-002, 4.64198E+001
ZS06_SumElem_Wall:BearingWall, 7.69785E-003, 4.80809E+001, 1.69848E-002, 4.64184E+001
ZS05_SumElem_Wall:BearingWall, 7.24692E-003, 4.80788E+001, 2.13840E-002, 4.64177E+001
ZS04_SumElem_Wall:BearingWall, 7.99492E-003, 4.80837E+001, 2.45060E-002, 4.64191E+001
ZS08_SumForLm_0, 7.71722E-003, 4.80795E+001, 9.41010E-003, 4.92933E+001
ZS07_SumForLm_0, 7.80711E-003, 4.80830E+001, 1.24177E-002, 4.64198E+001
ZS06_SumForLm_0, 7.69785E-003, 4.80809E+001, 1.69848E-002, 4.64184E+001
ZS05_SumForLm_0, 7.24692E-003, 4.80788E+001, 2.13840E-002, 4.64177E+001
ZS04_SumForLm_0, 7.99492E-003, 4.80837E+001, 2.45060E-002, 4.64191E+001
ZS03_SumForLm_0, 3.87490E-002, 4.80893E+001, 2.77166E-002, 4.80298E+001
ZS02_SumForLm_0, 1.47472E-001, 4.58773E+001, 6.15214E-002, 4.64548E+001
ZS01_SumForLm_0, 3.52722E-004, 4.58724E+001, 2.49239E-004, 4.80214E+001
ZS08_StiffCenter, 7.71737E-003, 4.80795E+001, 9.46427E-003, 4.92933E+001
ZS07_StiffCenter, 7.80712E-003, 4.80830E+001, 1.24594E-002, 4.64205E+001
ZS06_StiffCenter, 7.69786E-003, 4.80809E+001, 1.70232E-002, 4.64191E+001
ZS05_StiffCenter, 7.24732E-003, 4.80788E+001, 2.14210E-002, 4.64177E+001
ZS04_StiffCenter, 7.99443E-003, 4.80837E+001, 2.45793E-002, 4.64191E+001
ZS03_StiffCenter, 3.87495E-002, 4.80893E+001, 2.79954E-002, 4.80291E+001
ZS02_StiffCenter, 1.47473E-001, 4.58773E+001, 5.86314E-002, 4.80452E+001
ZS01_StiffCenter, 3.52724E-004, 4.58724E+001, 1.96458E-004, 4.80214E+001
