,DisU,Time,DisV,Time,VelU,Time,VelV,Time,AccU,Time,AccV,Time,AbsAcc,Degree,Time
ZS08, 2.43262E-001, 1.97547E+001, 7.94170E-002, 1.97974E+001, 1.02342E+000, 1.95888E+001, 4.82529E-001, 1.99703E+001, 9.10962E+000, 1.97169E+001, 5.31608E+000, 1.97736E+001, 9.92789E+000,-2.34E+001, 1.97176E+001
ZS07, 2.27528E-001, 1.97757E+001, 7.42318E-002, 1.98093E+001, 9.36084E-001, 1.94887E+001, 4.24064E-001, 1.99731E+001, 5.68284E+000, 1.97176E+001, 5.69464E+000, 1.97631E+001, 6.89335E+000,-4.21E+001, 1.97008E+001
ZS06, 2.13187E-001, 1.97974E+001, 6.85394E-002, 1.98219E+001, 9.06981E-001, 1.94845E+001, 3.54830E-001, 1.96427E+001, 5.37772E+000, 1.95587E+001, 5.71071E+000, 1.97533E+001, 6.68587E+000,-5.80E+001, 1.97561E+001
ZS05, 1.99875E-001, 1.98100E+001, 6.19676E-002, 1.98282E+001, 8.78418E-001, 1.94803E+001, 3.15958E-001, 1.96427E+001, 6.95469E+000, 1.95587E+001, 4.84578E+000, 1.97477E+001, 7.15161E+000,-1.74E+001, 1.95664E+001
ZS04, 1.86788E-001, 1.98170E+001, 5.40413E-002, 1.98338E+001, 8.47397E-001, 1.94789E+001, 2.59298E-001, 1.96476E+001, 8.53067E+000, 1.95657E+001, 4.72660E+000, 1.97274E+001, 8.66923E+000,-1.03E+001, 1.95650E+001
ZS03, 1.62412E-001, 1.98219E+001, 4.44627E-002, 1.98387E+001, 7.19266E-001, 1.94887E+001, 2.22329E-001, 1.96070E+001, 9.55009E+000, 1.95881E+001, 4.67962E+000, 1.97981E+001, 9.55092E+000,7.59E-001, 1.95881E+001
ZS02, 7.57591E-005, 1.90806E+001, 2.88003E-005, 1.97281E+001, 8.91130E-004, 1.94411E+001, 5.82720E-004, 1.95496E+001, 4.60882E+000, 1.90652E+001, 3.22422E+000, 1.96476E+001, 4.68743E+000,1.69E+002, 1.90652E+001
ZS01, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 4.59677E+000, 1.90652E+001, 2.25639E+000, 1.92997E+001, 4.67468E+000,1.70E+002, 1.90652E+001
ZS08_SumW, 2.43262E-001, 1.97547E+001, 7.94170E-002, 1.97974E+001, 1.02342E+000, 1.95888E+001, 4.82529E-001, 1.99703E+001, 9.10962E+000, 1.97169E+001, 5.31608E+000, 1.97736E+001, 9.92789E+000,-2.34E+001, 1.97176E+001
ZS07_SumW, 2.27528E-001, 1.97757E+001, 7.42318E-002, 1.98093E+001, 9.36084E-001, 1.94887E+001, 4.24064E-001, 1.99731E+001, 5.68284E+000, 1.97176E+001, 5.69464E+000, 1.97631E+001, 6.89335E+000,-4.21E+001, 1.97008E+001
ZS06_SumW, 2.13187E-001, 1.97974E+001, 6.85394E-002, 1.98219E+001, 9.06981E-001, 1.94845E+001, 3.54830E-001, 1.96427E+001, 5.37772E+000, 1.95587E+001, 5.71071E+000, 1.97533E+001, 6.68587E+000,-5.80E+001, 1.97561E+001
ZS05_SumW, 1.99875E-001, 1.98100E+001, 6.19676E-002, 1.98282E+001, 8.78418E-001, 1.94803E+001, 3.15958E-001, 1.96427E+001, 6.95469E+000, 1.95587E+001, 4.84578E+000, 1.97477E+001, 7.15161E+000,-1.74E+001, 1.95664E+001
ZS04_SumW, 1.86788E-001, 1.98170E+001, 5.40413E-002, 1.98338E+001, 8.47397E-001, 1.94789E+001, 2.59298E-001, 1.96476E+001, 8.53067E+000, 1.95657E+001, 4.72660E+000, 1.97274E+001, 8.66923E+000,-1.03E+001, 1.95650E+001
ZS08_SumElemWithoutDamper, 2.43262E-001, 1.97547E+001, 7.94170E-002, 1.97974E+001, 1.02342E+000, 1.95888E+001, 4.82529E-001, 1.99703E+001, 9.10962E+000, 1.97169E+001, 5.31608E+000, 1.97736E+001, 9.92789E+000,-2.34E+001, 1.97176E+001
ZS07_SumElemWithoutDamper, 2.27528E-001, 1.97757E+001, 7.42318E-002, 1.98093E+001, 9.36084E-001, 1.94887E+001, 4.24064E-001, 1.99731E+001, 5.68284E+000, 1.97176E+001, 5.69464E+000, 1.97631E+001, 6.89335E+000,-4.21E+001, 1.97008E+001
ZS06_SumElemWithoutDamper, 2.13187E-001, 1.97974E+001, 6.85394E-002, 1.98219E+001, 9.06981E-001, 1.94845E+001, 3.54830E-001, 1.96427E+001, 5.37772E+000, 1.95587E+001, 5.71071E+000, 1.97533E+001, 6.68587E+000,-5.80E+001, 1.97561E+001
ZS05_SumElemWithoutDamper, 1.99875E-001, 1.98100E+001, 6.19676E-002, 1.98282E+001, 8.78418E-001, 1.94803E+001, 3.15958E-001, 1.96427E+001, 6.95469E+000, 1.95587E+001, 4.84578E+000, 1.97477E+001, 7.15161E+000,-1.74E+001, 1.95664E+001
ZS04_SumElemWithoutDamper, 1.86788E-001, 1.98170E+001, 5.40413E-002, 1.98338E+001, 8.47397E-001, 1.94789E+001, 2.59298E-001, 1.96476E+001, 8.53067E+000, 1.95657E+001, 4.72660E+000, 1.97274E+001, 8.66923E+000,-1.03E+001, 1.95650E+001
ZS03_SumElemWithoutDamper, 1.62412E-001, 1.98219E+001, 4.44627E-002, 1.98387E+001, 7.19266E-001, 1.94887E+001, 2.22329E-001, 1.96070E+001, 9.55009E+000, 1.95881E+001, 4.67962E+000, 1.97981E+001, 9.55092E+000,7.59E-001, 1.95881E+001
ZS02_SumElemWithoutDamper, 7.57591E-005, 1.90806E+001, 2.88003E-005, 1.97281E+001, 8.91130E-004, 1.94411E+001, 5.82720E-004, 1.95496E+001, 4.60882E+000, 1.90652E+001, 3.22422E+000, 1.96476E+001, 4.68743E+000,1.69E+002, 1.90652E+001
ZS01_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 4.59677E+000, 1.90652E+001, 2.25639E+000, 1.92997E+001, 4.67468E+000,1.70E+002, 1.90652E+001
ZS08_SumElem_Column:RC, 2.43262E-001, 1.97547E+001, 7.94170E-002, 1.97974E+001, 1.02342E+000, 1.95888E+001, 4.82529E-001, 1.99703E+001, 9.10962E+000, 1.97169E+001, 5.31608E+000, 1.97736E+001, 9.92789E+000,-2.34E+001, 1.97176E+001
ZS07_SumElem_Column:RC, 2.27528E-001, 1.97757E+001, 7.42318E-002, 1.98093E+001, 9.36084E-001, 1.94887E+001, 4.24064E-001, 1.99731E+001, 5.68284E+000, 1.97176E+001, 5.69464E+000, 1.97631E+001, 6.89335E+000,-4.21E+001, 1.97008E+001
ZS06_SumElem_Column:RC, 2.13187E-001, 1.97974E+001, 6.85394E-002, 1.98219E+001, 9.06981E-001, 1.94845E+001, 3.54830E-001, 1.96427E+001, 5.37772E+000, 1.95587E+001, 5.71071E+000, 1.97533E+001, 6.68587E+000,-5.80E+001, 1.97561E+001
ZS05_SumElem_Column:RC, 1.99875E-001, 1.98100E+001, 6.19676E-002, 1.98282E+001, 8.78418E-001, 1.94803E+001, 3.15958E-001, 1.96427E+001, 6.95469E+000, 1.95587E+001, 4.84578E+000, 1.97477E+001, 7.15161E+000,-1.74E+001, 1.95664E+001
