,DisU,Time,DisV,Time,VelU,Time,VelV,Time,AccU,Time,AccV,Time,AbsAcc,Degree,Time
ZS08, 2.60161E-001, 1.97428E+001, 8.41952E-002, 1.97939E+001, 1.14921E+000, 1.95944E+001, 5.30518E-001, 1.99682E+001, 1.23238E+001, 1.97169E+001, 7.72599E+000, 1.97897E+001, 1.33427E+001,-2.26E+001, 1.97183E+001
ZS07, 2.43262E-001, 1.97547E+001, 7.96070E-002, 1.97974E+001, 1.02342E+000, 1.95888E+001, 4.84654E-001, 1.99703E+001, 9.10963E+000, 1.97169E+001, 5.33812E+000, 1.97736E+001, 9.91991E+000,-2.33E+001, 1.97176E+001
ZS06, 2.27528E-001, 1.97757E+001, 7.42806E-002, 1.98086E+001, 9.36083E-001, 1.94887E+001, 4.24733E-001, 1.99731E+001, 5.68284E+000, 1.97176E+001, 5.69952E+000, 1.97631E+001, 6.89466E+000,-4.21E+001, 1.97008E+001
ZS05, 2.13187E-001, 1.97974E+001, 6.85509E-002, 1.98212E+001, 9.06981E-001, 1.94845E+001, 3.54915E-001, 1.96427E+001, 5.37772E+000, 1.95587E+001, 5.71245E+000, 1.97533E+001, 6.68723E+000,-5.80E+001, 1.97561E+001
ZS04, 1.99875E-001, 1.98100E+001, 6.19701E-002, 1.98282E+001, 8.78418E-001, 1.94803E+001, 3.15992E-001, 1.96427E+001, 6.95469E+000, 1.95587E+001, 4.84653E+000, 1.97477E+001, 7.15181E+000,-1.74E+001, 1.95664E+001
ZS03, 1.86788E-001, 1.98170E+001, 5.39864E-002, 1.98345E+001, 8.47397E-001, 1.94789E+001, 2.57102E-001, 1.96476E+001, 8.53067E+000, 1.95657E+001, 4.63037E+000, 1.97274E+001, 8.65788E+000,-9.85E+000, 1.95650E+001
ZS02, 1.62412E-001, 1.98219E+001, 4.44606E-002, 1.98387E+001, 7.19266E-001, 1.94887E+001, 2.22482E-001, 2.00599E+001, 9.55009E+000, 1.95881E+001, 4.66861E+000, 1.97981E+001, 9.55051E+000,5.41E-001, 1.95881E+001
ZS01, 7.57591E-005, 1.90806E+001, 2.88749E-005, 1.97274E+001, 8.91130E-004, 1.94411E+001, 5.83642E-004, 1.95496E+001, 4.60882E+000, 1.90652E+001, 3.22657E+000, 1.96476E+001, 4.68743E+000,1.69E+002, 1.90652E+001
ZS08_SumW, 2.60161E-001, 1.97428E+001, 8.41952E-002, 1.97939E+001, 1.14921E+000, 1.95944E+001, 5.30518E-001, 1.99682E+001, 1.23238E+001, 1.97169E+001, 7.72599E+000, 1.97897E+001, 1.33427E+001,-2.26E+001, 1.97183E+001
ZS07_SumW, 2.43262E-001, 1.97547E+001, 7.96070E-002, 1.97974E+001, 1.02342E+000, 1.95888E+001, 4.84654E-001, 1.99703E+001, 9.10963E+000, 1.97169E+001, 5.33812E+000, 1.97736E+001, 9.91991E+000,-2.33E+001, 1.97176E+001
ZS06_SumW, 2.27528E-001, 1.97757E+001, 7.42806E-002, 1.98086E+001, 9.36083E-001, 1.94887E+001, 4.24733E-001, 1.99731E+001, 5.68284E+000, 1.97176E+001, 5.69952E+000, 1.97631E+001, 6.89466E+000,-4.21E+001, 1.97008E+001
ZS05_SumW, 2.13187E-001, 1.97974E+001, 6.85509E-002, 1.98212E+001, 9.06981E-001, 1.94845E+001, 3.54915E-001, 1.96427E+001, 5.37772E+000, 1.95587E+001, 5.71245E+000, 1.97533E+001, 6.68723E+000,-5.80E+001, 1.97561E+001
ZS04_SumW, 1.99875E-001, 1.98100E+001, 6.19701E-002, 1.98282E+001, 8.78418E-001, 1.94803E+001, 3.15992E-001, 1.96427E+001, 6.95469E+000, 1.95587E+001, 4.84653E+000, 1.97477E+001, 7.15181E+000,-1.74E+001, 1.95664E+001
ZS08_SumElemWithoutDamper, 2.60161E-001, 1.97428E+001, 8.41952E-002, 1.97939E+001, 1.14921E+000, 1.95944E+001, 5.30518E-001, 1.99682E+001, 1.23238E+001, 1.97169E+001, 7.72599E+000, 1.97897E+001, 1.33427E+001,-2.26E+001, 1.97183E+001
ZS07_SumElemWithoutDamper, 2.43262E-001, 1.97547E+001, 7.96070E-002, 1.97974E+001, 1.02342E+000, 1.95888E+001, 4.84654E-001, 1.99703E+001, 9.10963E+000, 1.97169E+001, 5.33812E+000, 1.97736E+001, 9.91991E+000,-2.33E+001, 1.97176E+001
ZS06_SumElemWithoutDamper, 2.27528E-001, 1.97757E+001, 7.42806E-002, 1.98086E+001, 9.36083E-001, 1.94887E+001, 4.24733E-001, 1.99731E+001, 5.68284E+000, 1.97176E+001, 5.69952E+000, 1.97631E+001, 6.89466E+000,-4.21E+001, 1.97008E+001
ZS05_SumElemWithoutDamper, 2.13187E-001, 1.97974E+001, 6.85509E-002, 1.98212E+001, 9.06981E-001, 1.94845E+001, 3.54915E-001, 1.96427E+001, 5.37772E+000, 1.95587E+001, 5.71245E+000, 1.97533E+001, 6.68723E+000,-5.80E+001, 1.97561E+001
ZS04_SumElemWithoutDamper, 1.99875E-001, 1.98100E+001, 6.19701E-002, 1.98282E+001, 8.78418E-001, 1.94803E+001, 3.15992E-001, 1.96427E+001, 6.95469E+000, 1.95587E+001, 4.84653E+000, 1.97477E+001, 7.15181E+000,-1.74E+001, 1.95664E+001
ZS03_SumElemWithoutDamper, 1.86788E-001, 1.98170E+001, 5.39864E-002, 1.98345E+001, 8.47397E-001, 1.94789E+001, 2.57102E-001, 1.96476E+001, 8.53067E+000, 1.95657E+001, 4.63037E+000, 1.97274E+001, 8.65788E+000,-9.85E+000, 1.95650E+001
ZS02_SumElemWithoutDamper, 1.62412E-001, 1.98219E+001, 4.44606E-002, 1.98387E+001, 7.19266E-001, 1.94887E+001, 2.22482E-001, 2.00599E+001, 9.55009E+000, 1.95881E+001, 4.66861E+000, 1.97981E+001, 9.55051E+000,5.41E-001, 1.95881E+001
ZS01_SumElemWithoutDamper, 7.57591E-005, 1.90806E+001, 2.88749E-005, 1.97274E+001, 8.91130E-004, 1.94411E+001, 5.83642E-004, 1.95496E+001, 4.60882E+000, 1.90652E+001, 3.22657E+000, 1.96476E+001, 4.68743E+000,1.69E+002, 1.90652E+001
