,DisU,Time,DisV,Time,VelU,Time,VelV,Time,AccU,Time,AccV,Time,AbsAcc,Degree,Time
ZS08, 5.64709E-002, 1.95769E+001, 1.60987E-002, 1.97512E+001, 5.12395E-001, 1.97442E+001, 1.90058E-001, 2.09440E+001, 4.74068E+000, 1.95363E+001, 2.58719E+000, 2.08376E+001, 4.76127E+000,-8.72E+000, 1.95951E+001
ZS07, 5.48909E-002, 1.95769E+001, 1.51486E-002, 1.97533E+001, 4.96245E-001, 1.97435E+001, 1.75476E-001, 2.09440E+001, 4.67033E+000, 1.95566E+001, 2.39222E+000, 2.08194E+001, 4.68145E+000,-3.95E+000, 1.95573E+001
ZS06, 5.33123E-002, 1.95762E+001, 1.39223E-002, 1.97589E+001, 4.80102E-001, 1.97428E+001, 1.55242E-001, 2.09461E+001, 4.60912E+000, 1.95573E+001, 2.15244E+000, 2.08166E+001, 4.63379E+000,-5.98E+000, 1.95594E+001
ZS05, 5.18129E-002, 1.95762E+001, 1.23942E-002, 1.97645E+001, 4.64690E-001, 1.97414E+001, 1.28773E-001, 2.09454E+001, 4.55093E+000, 1.95622E+001, 1.91123E+000, 2.07942E+001, 4.59697E+000,-8.13E+000, 1.95629E+001
ZS04, 5.01425E-002, 1.95762E+001, 1.05983E-002, 1.97687E+001, 4.47856E-001, 1.97407E+001, 1.03671E-001, 1.99080E+001, 4.48317E+000, 1.95608E+001, 1.77813E+000, 1.97652E+001, 4.54506E+000,-9.47E+000, 1.95608E+001
ZS03, 4.03921E-002, 1.95762E+001, 7.88941E-003, 1.97736E+001, 3.55928E-001, 1.97372E+001, 7.37345E-002, 1.99136E+001, 3.94787E+000, 1.95741E+001, 1.74086E+000, 1.97554E+001, 4.07599E+000,-1.44E+001, 1.95748E+001
ZS02, 7.23697E-005, 1.95622E+001, 1.86096E-005, 2.08131E+001, 6.89840E-004, 1.97456E+001, 2.89603E-004, 2.09419E+001, 2.30035E+000, 1.90596E+001, 1.13799E+000, 1.96490E+001, 2.31053E+000,1.75E+002, 1.90596E+001
ZS01, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 2.29896E+000, 1.90596E+001, 1.13608E+000, 1.96490E+001, 2.30938E+000,1.73E+002, 1.90533E+001
ZS08_SumW, 5.64709E-002, 1.95769E+001, 1.60987E-002, 1.97512E+001, 5.12395E-001, 1.97442E+001, 1.90058E-001, 2.09440E+001, 4.74068E+000, 1.95363E+001, 2.58719E+000, 2.08376E+001, 4.76127E+000,-8.72E+000, 1.95951E+001
ZS07_SumW, 5.48909E-002, 1.95769E+001, 1.51486E-002, 1.97533E+001, 4.96245E-001, 1.97435E+001, 1.75476E-001, 2.09440E+001, 4.67033E+000, 1.95566E+001, 2.39222E+000, 2.08194E+001, 4.68145E+000,-3.95E+000, 1.95573E+001
ZS06_SumW, 5.33123E-002, 1.95762E+001, 1.39223E-002, 1.97589E+001, 4.80102E-001, 1.97428E+001, 1.55242E-001, 2.09461E+001, 4.60912E+000, 1.95573E+001, 2.15244E+000, 2.08166E+001, 4.63379E+000,-5.98E+000, 1.95594E+001
ZS05_SumW, 5.18129E-002, 1.95762E+001, 1.23942E-002, 1.97645E+001, 4.64690E-001, 1.97414E+001, 1.28773E-001, 2.09454E+001, 4.55093E+000, 1.95622E+001, 1.91123E+000, 2.07942E+001, 4.59697E+000,-8.13E+000, 1.95629E+001
ZS04_SumW, 5.01425E-002, 1.95762E+001, 1.05983E-002, 1.97687E+001, 4.47856E-001, 1.97407E+001, 1.03671E-001, 1.99080E+001, 4.48317E+000, 1.95608E+001, 1.77813E+000, 1.97652E+001, 4.54506E+000,-9.47E+000, 1.95608E+001
ZS08_SumElemWithoutDamper, 5.64709E-002, 1.95769E+001, 1.60987E-002, 1.97512E+001, 5.12395E-001, 1.97442E+001, 1.90058E-001, 2.09440E+001, 4.74068E+000, 1.95363E+001, 2.58719E+000, 2.08376E+001, 4.76127E+000,-8.72E+000, 1.95951E+001
ZS07_SumElemWithoutDamper, 5.48909E-002, 1.95769E+001, 1.51486E-002, 1.97533E+001, 4.96245E-001, 1.97435E+001, 1.75476E-001, 2.09440E+001, 4.67033E+000, 1.95566E+001, 2.39222E+000, 2.08194E+001, 4.68145E+000,-3.95E+000, 1.95573E+001
ZS06_SumElemWithoutDamper, 5.33123E-002, 1.95762E+001, 1.39223E-002, 1.97589E+001, 4.80102E-001, 1.97428E+001, 1.55242E-001, 2.09461E+001, 4.60912E+000, 1.95573E+001, 2.15244E+000, 2.08166E+001, 4.63379E+000,-5.98E+000, 1.95594E+001
ZS05_SumElemWithoutDamper, 5.18129E-002, 1.95762E+001, 1.23942E-002, 1.97645E+001, 4.64690E-001, 1.97414E+001, 1.28773E-001, 2.09454E+001, 4.55093E+000, 1.95622E+001, 1.91123E+000, 2.07942E+001, 4.59697E+000,-8.13E+000, 1.95629E+001
ZS04_SumElemWithoutDamper, 5.01425E-002, 1.95762E+001, 1.05983E-002, 1.97687E+001, 4.47856E-001, 1.97407E+001, 1.03671E-001, 1.99080E+001, 4.48317E+000, 1.95608E+001, 1.77813E+000, 1.97652E+001, 4.54506E+000,-9.47E+000, 1.95608E+001
ZS03_SumElemWithoutDamper, 4.03921E-002, 1.95762E+001, 7.88941E-003, 1.97736E+001, 3.55928E-001, 1.97372E+001, 7.37345E-002, 1.99136E+001, 3.94787E+000, 1.95741E+001, 1.74086E+000, 1.97554E+001, 4.07599E+000,-1.44E+001, 1.95748E+001
ZS02_SumElemWithoutDamper, 7.23697E-005, 1.95622E+001, 1.86096E-005, 2.08131E+001, 6.89840E-004, 1.97456E+001, 2.89603E-004, 2.09419E+001, 2.30035E+000, 1.90596E+001, 1.13799E+000, 1.96490E+001, 2.31053E+000,1.75E+002, 1.90596E+001
ZS01_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 2.29896E+000, 1.90596E+001, 1.13608E+000, 1.96490E+001, 2.30938E+000,1.73E+002, 1.90533E+001
ZS08_SumElem_Column:RC, 5.64709E-002, 1.95769E+001, 1.60987E-002, 1.97512E+001, 5.12395E-001, 1.97442E+001, 1.90058E-001, 2.09440E+001, 4.74068E+000, 1.95363E+001, 2.58719E+000, 2.08376E+001, 4.76127E+000,-8.72E+000, 1.95951E+001
ZS07_SumElem_Column:RC, 5.48909E-002, 1.95769E+001, 1.51486E-002, 1.97533E+001, 4.96245E-001, 1.97435E+001, 1.75476E-001, 2.09440E+001, 4.67033E+000, 1.95566E+001, 2.39222E+000, 2.08194E+001, 4.68145E+000,-3.95E+000, 1.95573E+001
ZS06_SumElem_Column:RC, 5.33123E-002, 1.95762E+001, 1.39223E-002, 1.97589E+001, 4.80102E-001, 1.97428E+001, 1.55242E-001, 2.09461E+001, 4.60912E+000, 1.95573E+001, 2.15244E+000, 2.08166E+001, 4.63379E+000,-5.98E+000, 1.95594E+001
ZS05_SumElem_Column:RC, 5.18129E-002, 1.95762E+001, 1.23942E-002, 1.97645E+001, 4.64690E-001, 1.97414E+001, 1.28773E-001, 2.09454E+001, 4.55093E+000, 1.95622E+001, 1.91123E+000, 2.07942E+001, 4.59697E+000,-8.13E+000, 1.95629E+001
ZS04_SumElem_Column:RC, 5.01425E-002, 1.95762E+001, 1.05983E-002, 1.97687E+001, 4.47856E-001, 1.97407E+001, 1.03671E-001, 1.99080E+001, 4.48317E+000, 1.95608E+001, 1.77813E+000, 1.97652E+001, 4.54506E+000,-9.47E+000, 1.95608E+001
ZS03_SumElem_Column:RC, 4.03921E-002, 1.95762E+001, 7.88941E-003, 1.97736E+001, 3.55928E-001, 1.97372E+001, 7.37345E-002, 1.99136E+001, 3.94787E+000, 1.95741E+001, 1.74086E+000, 1.97554E+001, 4.07599E+000,-1.44E+001, 1.95748E+001
ZS02_SumElem_Column:RC, 7.23697E-005, 1.95622E+001, 1.86096E-005, 2.08131E+001, 6.89840E-004, 1.97456E+001, 2.89603E-004, 2.09419E+001, 2.30035E+000, 1.90596E+001, 1.13799E+000, 1.96490E+001, 2.31053E+000,1.75E+002, 1.90596E+001
ZS01_SumElem_Column:RC, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 2.29896E+000, 1.90596E+001, 1.13608E+000, 1.96490E+001, 2.30938E+000,1.73E+002, 1.90533E+001
ZS08_SumElem_Wall:BearingWall, 5.64709E-002, 1.95769E+001, 1.60987E-002, 1.97512E+001, 5.12395E-001, 1.97442E+001, 1.90058E-001, 2.09440E+001, 4.74068E+000, 1.95363E+001, 2.58719E+000, 2.08376E+001, 4.76127E+000,-8.72E+000, 1.95951E+001
ZS07_SumElem_Wall:BearingWall, 5.48909E-002, 1.95769E+001, 1.51486E-002, 1.97533E+001, 4.96245E-001, 1.97435E+001, 1.75476E-001, 2.09440E+001, 4.67033E+000, 1.95566E+001, 2.39222E+000, 2.08194E+001, 4.68145E+000,-3.95E+000, 1.95573E+001
ZS06_SumElem_Wall:BearingWall, 5.33123E-002, 1.95762E+001, 1.39223E-002, 1.97589E+001, 4.80102E-001, 1.97428E+001, 1.55242E-001, 2.09461E+001, 4.60912E+000, 1.95573E+001, 2.15244E+000, 2.08166E+001, 4.63379E+000,-5.98E+000, 1.95594E+001
ZS05_SumElem_Wall:BearingWall, 5.18129E-002, 1.95762E+001, 1.23942E-002, 1.97645E+001, 4.64690E-001, 1.97414E+001, 1.28773E-001, 2.09454E+001, 4.55093E+000, 1.95622E+001, 1.91123E+000, 2.07942E+001, 4.59697E+000,-8.13E+000, 1.95629E+001
ZS04_SumElem_Wall:BearingWall, 5.01425E-002, 1.95762E+001, 1.05983E-002, 1.97687E+001, 4.47856E-001, 1.97407E+001, 1.03671E-001, 1.99080E+001, 4.48317E+000, 1.95608E+001, 1.77813E+000, 1.97652E+001, 4.54506E+000,-9.47E+000, 1.95608E+001
ZS08_SumForLm_0, 5.64709E-002, 1.95769E+001, 1.60987E-002, 1.97512E+001, 5.12395E-001, 1.97442E+001, 1.90058E-001, 2.09440E+001, 4.74068E+000, 1.95363E+001, 2.58719E+000, 2.08376E+001, 4.76127E+000,-8.72E+000, 1.95951E+001
ZS07_SumForLm_0, 5.48909E-002, 1.95769E+001, 1.51486E-002, 1.97533E+001, 4.96245E-001, 1.97435E+001, 1.75476E-001, 2.09440E+001, 4.67033E+000, 1.95566E+001, 2.39222E+000, 2.08194E+001, 4.68145E+000,-3.95E+000, 1.95573E+001
ZS06_SumForLm_0, 5.33123E-002, 1.95762E+001, 1.39223E-002, 1.97589E+001, 4.80102E-001, 1.97428E+001, 1.55242E-001, 2.09461E+001, 4.60912E+000, 1.95573E+001, 2.15244E+000, 2.08166E+001, 4.63379E+000,-5.98E+000, 1.95594E+001
ZS05_SumForLm_0, 5.18129E-002, 1.95762E+001, 1.23942E-002, 1.97645E+001, 4.64690E-001, 1.97414E+001, 1.28773E-001, 2.09454E+001, 4.55093E+000, 1.95622E+001, 1.91123E+000, 2.07942E+001, 4.59697E+000,-8.13E+000, 1.95629E+001
ZS04_SumForLm_0, 5.01425E-002, 1.95762E+001, 1.05983E-002, 1.97687E+001, 4.47856E-001, 1.97407E+001, 1.03671E-001, 1.99080E+001, 4.48317E+000, 1.95608E+001, 1.77813E+000, 1.97652E+001, 4.54506E+000,-9.47E+000, 1.95608E+001
ZS03_SumForLm_0, 4.03921E-002, 1.95762E+001, 7.88941E-003, 1.97736E+001, 3.55928E-001, 1.97372E+001, 7.37345E-002, 1.99136E+001, 3.94787E+000, 1.95741E+001, 1.74086E+000, 1.97554E+001, 4.07599E+000,-1.44E+001, 1.95748E+001
ZS02_SumForLm_0, 7.23697E-005, 1.95622E+001, 1.86096E-005, 2.08131E+001, 6.89840E-004, 1.97456E+001, 2.89603E-004, 2.09419E+001, 2.30035E+000, 1.90596E+001, 1.13799E+000, 1.96490E+001, 2.31053E+000,1.75E+002, 1.90596E+001
