,DriftVelocityU,Time,DriftVelocityV,Time
ZS08, 6.22964E-002, 1.92675E+001, 4.55696E-002, 1.94390E+001
ZS07, 6.22380E-002, 1.92675E+001, 4.75276E-002, 1.94355E+001
ZS06, 6.17390E-002, 1.92654E+001, 4.36579E-002, 1.94285E+001
ZS05, 6.13834E-002, 1.92612E+001, 4.87511E-002, 1.94033E+001
ZS04, 6.19196E-002, 1.92591E+001, 5.78450E-002, 1.93984E+001
ZS03, 1.35802E-001, 1.91765E+001, 5.84886E-002, 1.96301E+001
ZS02, 1.28042E+000, 1.92108E+001, 4.53693E-001, 1.93487E+001
ZS01, 4.79263E-004, 1.91954E+001, 2.91418E-004, 1.92290E+001
ZS08_SumW, 6.22964E-002, 1.92675E+001, 4.55696E-002, 1.94390E+001
ZS07_SumW, 6.22380E-002, 1.92675E+001, 4.75276E-002, 1.94355E+001
ZS06_SumW, 6.17390E-002, 1.92654E+001, 4.36579E-002, 1.94285E+001
ZS05_SumW, 6.13834E-002, 1.92612E+001, 4.87511E-002, 1.94033E+001
ZS04_SumW, 6.19196E-002, 1.92591E+001, 5.78450E-002, 1.93984E+001
ZS08_SumElemWithoutDamper, 6.22964E-002, 1.92675E+001, 4.55696E-002, 1.94390E+001
ZS07_SumElemWithoutDamper, 6.22380E-002, 1.92675E+001, 4.75276E-002, 1.94355E+001
ZS06_SumElemWithoutDamper, 6.17390E-002, 1.92654E+001, 4.36579E-002, 1.94285E+001
ZS05_SumElemWithoutDamper, 6.13834E-002, 1.92612E+001, 4.87511E-002, 1.94033E+001
ZS04_SumElemWithoutDamper, 6.19196E-002, 1.92591E+001, 5.78450E-002, 1.93984E+001
ZS03_SumElemWithoutDamper, 1.35802E-001, 1.91765E+001, 5.84886E-002, 1.96301E+001
ZS02_SumElemWithoutDamper, 1.28042E+000, 1.92108E+001, 4.53693E-001, 1.93487E+001
ZS01_SumElemWithoutDamper, 4.79263E-004, 1.91954E+001, 2.91418E-004, 1.92290E+001
ZS08_SumElem_Column:RC, 6.22964E-002, 1.92675E+001, 4.55696E-002, 1.94390E+001
ZS07_SumElem_Column:RC, 6.22380E-002, 1.92675E+001, 4.75276E-002, 1.94355E+001
ZS06_SumElem_Column:RC, 6.17390E-002, 1.92654E+001, 4.36579E-002, 1.94285E+001
ZS05_SumElem_Column:RC, 6.13834E-002, 1.92612E+001, 4.87511E-002, 1.94033E+001
ZS04_SumElem_Column:RC, 6.19196E-002, 1.92591E+001, 5.78450E-002, 1.93984E+001
ZS03_SumElem_Column:RC, 1.35802E-001, 1.91765E+001, 5.84886E-002, 1.96301E+001
ZS02_SumElem_Column:RC, 1.28042E+000, 1.92108E+001, 4.53693E-001, 1.93487E+001
ZS01_SumElem_Column:RC, 4.79263E-004, 1.91954E+001, 2.91418E-004, 1.92290E+001
ZS08_SumElem_Wall:BearingWall, 6.22964E-002, 1.92675E+001, 4.55696E-002, 1.94390E+001
ZS07_SumElem_Wall:BearingWall, 6.22380E-002, 1.92675E+001, 4.75276E-002, 1.94355E+001
ZS06_SumElem_Wall:BearingWall, 6.17390E-002, 1.92654E+001, 4.36579E-002, 1.94285E+001
ZS05_SumElem_Wall:BearingWall, 6.13834E-002, 1.92612E+001, 4.87511E-002, 1.94033E+001
ZS04_SumElem_Wall:BearingWall, 6.19196E-002, 1.92591E+001, 5.78450E-002, 1.93984E+001
ZS08_SumForLm_0, 6.22964E-002, 1.92675E+001, 4.55696E-002, 1.94390E+001
ZS07_SumForLm_0, 6.22380E-002, 1.92675E+001, 4.75276E-002, 1.94355E+001
ZS06_SumForLm_0, 6.17390E-002, 1.92654E+001, 4.36579E-002, 1.94285E+001
ZS05_SumForLm_0, 6.13834E-002, 1.92612E+001, 4.87511E-002, 1.94033E+001
ZS04_SumForLm_0, 6.19196E-002, 1.92591E+001, 5.78450E-002, 1.93984E+001
ZS03_SumForLm_0, 1.35802E-001, 1.91765E+001, 5.84886E-002, 1.96301E+001
ZS02_SumForLm_0, 1.28042E+000, 1.92108E+001, 4.53693E-001, 1.93487E+001
ZS01_SumForLm_0, 4.79263E-004, 1.91954E+001, 2.91418E-004, 1.92290E+001
ZS08_StiffCenter, 6.22988E-002, 1.92675E+001, 4.55888E-002, 1.94390E+001
ZS07_StiffCenter, 6.22381E-002, 1.92675E+001, 4.76235E-002, 1.94348E+001
ZS06_StiffCenter, 6.17391E-002, 1.92654E+001, 4.42844E-002, 1.94271E+001
ZS05_StiffCenter, 6.13891E-002, 1.92612E+001, 4.99282E-002, 1.94040E+001
ZS04_StiffCenter, 6.19133E-002, 1.92591E+001, 5.95037E-002, 1.93984E+001
ZS03_StiffCenter, 1.35794E-001, 1.91765E+001, 6.11423E-002, 1.96294E+001
ZS02_StiffCenter, 1.28042E+000, 1.92108E+001, 4.33494E-001, 1.93480E+001
ZS01_StiffCenter, 4.79258E-004, 1.91954E+001, 3.47077E-004, 1.91954E+001
