,OtmU,Time,OtmV,Time
ZS08, 5.73317E+004, 4.82188E+001, 6.17446E+004, 4.81649E+001
ZS07, 1.77897E+005, 4.82188E+001, 1.92306E+005, 4.81656E+001
ZS06, 3.56973E+005, 4.82188E+001, 3.85849E+005, 4.81663E+001
ZS05, 5.94092E+005, 4.57345E+001, 6.35286E+005, 4.81656E+001
ZS04, 8.85735E+005, 4.57359E+001, 9.32884E+005, 4.81635E+001
ZS03, 1.22594E+006, 4.57373E+001, 1.26861E+006, 4.81614E+001
ZS02, 2.00699E+006, 4.57394E+001, 2.03593E+006, 4.81558E+001
