,DisU,Time,DisV,Time,VelU,Time,VelV,Time,AccU,Time,AccV,Time,AbsAcc,Degree,Time
ZS08, 4.27142E-001, 1.95496E+001, 1.34845E-001, 1.95118E+001, 1.54128E+000, 1.92066E+001, 5.47567E-001, 1.93851E+001, 3.66192E+000, 1.88664E+001, 3.91929E+000, 1.94432E+001, 4.52667E+000,1.38E+002, 1.95503E+001
ZS07, 4.16251E-001, 1.95482E+001, 1.30409E-001, 1.95118E+001, 1.50265E+000, 1.91849E+001, 5.32346E-001, 1.93879E+001, 3.34599E+000, 1.88804E+001, 3.81904E+000, 1.94306E+001, 4.72068E+000,1.26E+002, 1.94257E+001
ZS06, 4.05408E-001, 1.95468E+001, 1.25329E-001, 1.95118E+001, 1.47046E+000, 1.91800E+001, 5.07096E-001, 1.93858E+001, 3.61859E+000, 1.92066E+001, 4.09656E+000, 1.94173E+001, 5.12619E+000,1.28E+002, 1.94236E+001
ZS05, 3.94662E-001, 1.95447E+001, 1.19364E-001, 1.95139E+001, 1.43841E+000, 1.91786E+001, 4.84520E-001, 1.93669E+001, 4.44625E+000, 1.92045E+001, 3.58208E+000, 1.94103E+001, 4.80065E+000,1.35E+002, 1.94208E+001
ZS04, 3.83869E-001, 1.95419E+001, 1.12420E-001, 1.95174E+001, 1.40387E+000, 1.91772E+001, 4.71685E-001, 1.93578E+001, 5.04034E+000, 1.91996E+001, 4.92480E+000, 1.93858E+001, 5.30262E+000,1.12E+002, 1.93858E+001
ZS03, 3.67486E-001, 1.95377E+001, 1.05608E-001, 1.95251E+001, 1.28065E+000, 1.92108E+001, 4.53989E-001, 1.93487E+001, 4.56699E+000, 1.94516E+001, 5.45347E+000, 1.93781E+001, 5.75104E+000,1.11E+002, 1.93795E+001
ZS02, 4.21088E-005, 1.92157E+001, 1.69216E-005, 1.94768E+001, 4.79263E-004, 1.91954E+001, 2.91691E-004, 1.92290E+001, 6.99990E+000, 1.90575E+001, 3.51409E+000, 1.93130E+001, 7.26579E+000,1.64E+002, 1.90575E+001
ZS01, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 7.00315E+000, 1.90477E+001, 3.45743E+000, 1.93130E+001, 7.25460E+000,1.64E+002, 1.90631E+001
ZS08_SumW, 4.27142E-001, 1.95496E+001, 1.34845E-001, 1.95118E+001, 1.54128E+000, 1.92066E+001, 5.47567E-001, 1.93851E+001, 3.66192E+000, 1.88664E+001, 3.91929E+000, 1.94432E+001, 4.52667E+000,1.38E+002, 1.95503E+001
ZS07_SumW, 4.16251E-001, 1.95482E+001, 1.30409E-001, 1.95118E+001, 1.50265E+000, 1.91849E+001, 5.32346E-001, 1.93879E+001, 3.34599E+000, 1.88804E+001, 3.81904E+000, 1.94306E+001, 4.72068E+000,1.26E+002, 1.94257E+001
ZS06_SumW, 4.05408E-001, 1.95468E+001, 1.25329E-001, 1.95118E+001, 1.47046E+000, 1.91800E+001, 5.07096E-001, 1.93858E+001, 3.61859E+000, 1.92066E+001, 4.09656E+000, 1.94173E+001, 5.12619E+000,1.28E+002, 1.94236E+001
