,OtmU,Time,OtmV,Time
ZS08, 1.03595E+005, 1.92976E+001, 1.41527E+005, 1.94586E+001
ZS07, 3.07127E+005, 1.92976E+001, 3.86007E+005, 1.94579E+001
ZS06, 5.93087E+005, 1.88748E+001, 6.82633E+005, 1.94579E+001
ZS05, 9.75537E+005, 1.88755E+001, 1.01622E+006, 1.94586E+001
ZS04, 1.43579E+006, 1.88769E+001, 1.43330E+006, 1.94950E+001
ZS03, 1.96110E+006, 1.88783E+001, 1.95253E+006, 1.94992E+001
ZS02, 3.14385E+006, 1.88811E+001, 3.01949E+006, 1.94964E+001
