,Story,MaxForceU,MaxForceV
ZS08,ZS08_SumElemWithoutDamper, 6.90633E+004, 9.43511E+004
ZS07,ZS07_SumElemWithoutDamper, 1.35688E+005, 1.63142E+005
ZS06,ZS06_SumElemWithoutDamper, 1.97435E+005, 2.02919E+005
ZS05,ZS05_SumElemWithoutDamper, 2.55062E+005, 2.64479E+005
ZS04,ZS04_SumElemWithoutDamper, 3.07198E+005, 3.20130E+005
ZS03,ZS03_SumElemWithoutDamper, 3.51689E+005, 3.47798E+005
ZS02,ZS02_SumElemWithoutDamper, 3.86867E+005, 3.49120E+005
ZS01,ZS01_SumElemWithoutDamper, 4.00923E+005, 3.30973E+005
ZS08_SumElemWithoutDamper,ZS08, 6.90633E+004, 9.43511E+004
ZS07_SumElemWithoutDamper,ZS07, 1.35688E+005, 1.63142E+005
ZS06_SumElemWithoutDamper,ZS06, 1.97435E+005, 2.02919E+005
ZS05_SumElemWithoutDamper,ZS05, 2.55062E+005, 2.64479E+005
ZS04_SumElemWithoutDamper,ZS04, 3.07198E+005, 3.20130E+005
ZS03_SumElemWithoutDamper,ZS03, 3.51689E+005, 3.47798E+005
ZS02_SumElemWithoutDamper,ZS02, 3.86867E+005, 3.49120E+005
ZS01_SumElemWithoutDamper,ZS01, 4.00923E+005, 3.30973E+005
