層名,   上側節点UX,   下側節点UX,   上側節点UY,   下側節点UY,   上側節点TZ,   下側節点TZ
ZS08, 3.74823E-003, 3.55005E-003, 6.94368E-001, 6.38638E-001, 1.74512E-001, 1.69297E-001
ZS07, 3.55005E-003, 3.35549E-003, 6.38638E-001, 5.60932E-001, 1.69297E-001, 1.64036E-001
ZS06, 3.35549E-003, 3.16097E-003, 5.60932E-001, 4.58626E-001, 1.64036E-001, 1.58687E-001
ZS05, 3.16097E-003, 2.97867E-003, 4.58626E-001, 3.33063E-001, 1.58687E-001, 1.53462E-001
ZS04, 2.97867E-003, 2.65899E-003, 3.33063E-001, 1.89440E-001, 1.53462E-001, 1.47178E-001
ZS03, 2.65899E-003, 1.67051E-003, 1.89440E-001, 7.82936E-002, 1.47178E-001, 1.12974E-001
ZS02, 1.67051E-003, 2.37645E-005, 7.82936E-002, 2.09785E-003, 1.12974E-001, 8.12948E-004
ZS01, 2.37645E-005, 0.00000E+000, 2.09785E-003, 0.00000E+000, 8.12948E-004, 0.00000E+000
