層名,   上側節点UX,   下側節点UX,   上側節点UY,   下側節点UY,   上側節点TZ,   下側節点TZ
ZS08, 9.98524E-001, 6.22577E-001,-1.30761E-003,-5.87546E-004,-6.00059E-004,-4.01692E-004
ZS07, 6.22577E-001, 2.35489E-001,-5.87546E-004, 2.54840E-004,-4.01692E-004,-2.56327E-004
ZS06, 2.35489E-001,-1.37847E-001, 2.54840E-004, 9.53797E-004,-2.56327E-004,-1.08605E-004
ZS05,-1.37847E-001,-4.79949E-001, 9.53797E-004, 1.24225E-003,-1.08605E-004, 3.20728E-005
ZS04,-4.79949E-001,-7.78095E-001, 1.24225E-003, 9.61008E-004, 3.20728E-005, 1.55416E-004
ZS03,-7.78095E-001,-9.36773E-001, 9.61008E-004,-3.59756E-004, 1.55416E-004, 8.70100E-004
ZS02,-9.36773E-001,-6.76057E-003,-3.59756E-004, 8.04982E-006, 8.70100E-004,-5.92899E-006
ZS01,-6.76057E-003, 0.00000E+000, 8.04982E-006, 0.00000E+000,-5.92899E-006, 0.00000E+000
