層名,   上側節点UX,   下側節点UX,   上側節点UY,   下側節点UY,   上側節点TZ,   下側節点TZ
ZS08,-5.88863E-002,-5.95954E-002,-2.73019E-005, 3.52178E-005, 4.39627E-005,-1.05590E-004
ZS07,-5.95954E-002,-3.22503E-002, 3.52178E-005, 1.63032E-005,-1.05590E-004,-2.46195E-005
ZS06,-3.22503E-002,-6.92718E-003, 1.63032E-005,-3.23311E-005,-2.46195E-005, 1.61080E-005
ZS05,-6.92718E-003, 1.72040E-002,-3.23311E-005,-5.76935E-005, 1.61080E-005, 4.62748E-005
ZS04, 1.72040E-002, 4.52928E-002,-5.76935E-005,-5.23233E-005, 4.62748E-005, 1.25548E-004
ZS03, 4.52928E-002, 1.15397E-001,-5.23233E-005, 1.83201E-004, 1.25548E-004,-5.27611E-005
ZS02, 1.15397E-001, 8.91158E-004, 1.83201E-004, 2.00074E-006,-5.27611E-005, 1.73717E-006
ZS01, 8.91158E-004, 0.00000E+000, 2.00074E-006, 0.00000E+000, 1.73717E-006, 0.00000E+000
