,OtmU,Time,OtmV,Time
ZS08, 1.18389E+005, 1.95321E+001, 6.73956E+004, 2.08432E+001
ZS07, 3.73084E+005, 1.95335E+001, 2.09560E+005, 2.08418E+001
ZS06, 7.60548E+005, 1.95363E+001, 4.19165E+005, 2.08404E+001
ZS05, 1.27817E+006, 1.95412E+001, 6.87484E+005, 2.08376E+001
ZS04, 1.92686E+006, 1.95580E+001, 1.00542E+006, 2.08341E+001
ZS03, 2.69854E+006, 1.95608E+001, 1.36029E+006, 2.08313E+001
ZS02, 4.51609E+006, 1.95636E+001, 2.14869E+006, 2.08257E+001
