,DisU,Time,DisV,Time,VelU,Time,VelV,Time,AccU,Time,AccV,Time,AbsAcc,Degree,Time
ZS08_SumElem_Column:RC, 1.88065E-002, 4.57471E+001, 1.46935E-002, 4.81698E+001, 2.13770E-001, 4.58766E+001, 1.50132E-001, 4.64317E+001, 2.17230E+000, 4.57324E+001, 2.35262E+000, 4.81656E+001, 2.92183E+000,-4.91E+001, 4.81887E+001
ZS07_SumElem_Column:RC, 1.83238E-002, 4.57471E+001, 1.37177E-002, 4.81691E+001, 2.06920E-001, 4.58766E+001, 1.39460E-001, 4.80396E+001, 2.06328E+000, 4.57394E+001, 2.15547E+000, 4.81670E+001, 2.81166E+000,-4.84E+001, 4.81824E+001
ZS06_SumElem_Column:RC, 1.78431E-002, 4.57478E+001, 1.23780E-002, 4.81691E+001, 2.00056E-001, 4.58766E+001, 1.26701E-001, 4.80389E+001, 1.97546E+000, 4.57471E+001, 2.08283E+000, 4.81236E+001, 2.65343E+000,-4.45E+001, 4.81803E+001
ZS05_SumElem_Column:RC, 1.73944E-002, 4.57478E+001, 1.06431E-002, 4.81698E+001, 1.93502E-001, 4.58766E+001, 1.09160E-001, 4.80382E+001, 1.93079E+000, 4.81824E+001, 1.86816E+000, 4.81278E+001, 2.46872E+000,-3.93E+001, 4.81761E+001
ZS04_SumElem_Column:RC, 1.68859E-002, 4.57478E+001, 8.57053E-003, 4.81740E+001, 1.86183E-001, 4.58773E+001, 8.71696E-002, 4.80431E+001, 1.93682E+000, 4.81803E+001, 1.55190E+000, 4.81411E+001, 2.28059E+000,-3.27E+001, 4.81740E+001
ZS03_SumElem_Column:RC, 1.35725E-002, 4.57492E+001, 6.41757E-003, 4.85625E+001, 1.47820E-001, 4.58773E+001, 6.17710E-002, 4.64555E+001, 1.59962E+000, 4.81628E+001, 1.26429E+000, 4.80893E+001, 1.97075E+000,-3.65E+001, 4.81593E+001
ZS02_SumElem_Column:RC, 3.06144E-005, 4.57443E+001, 1.77235E-005, 4.81453E+001, 3.52722E-004, 4.58724E+001, 2.48864E-004, 4.80214E+001, 1.16676E+000, 4.80291E+001, 1.17992E+000, 4.84330E+001, 1.42871E+000,-3.54E+001, 4.80228E+001
ZS01_SumElem_Column:RC, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 1.16241E+000, 4.80284E+001, 1.17705E+000, 4.84323E+001, 1.42498E+000,-3.56E+001, 4.80221E+001
ZS08_SumElem_Wall:BearingWall, 1.88065E-002, 4.57471E+001, 1.46935E-002, 4.81698E+001, 2.13770E-001, 4.58766E+001, 1.50132E-001, 4.64317E+001, 2.17230E+000, 4.57324E+001, 2.35262E+000, 4.81656E+001, 2.92183E+000,-4.91E+001, 4.81887E+001
ZS07_SumElem_Wall:BearingWall, 1.83238E-002, 4.57471E+001, 1.37177E-002, 4.81691E+001, 2.06920E-001, 4.58766E+001, 1.39460E-001, 4.80396E+001, 2.06328E+000, 4.57394E+001, 2.15547E+000, 4.81670E+001, 2.81166E+000,-4.84E+001, 4.81824E+001
ZS06_SumElem_Wall:BearingWall, 1.78431E-002, 4.57478E+001, 1.23780E-002, 4.81691E+001, 2.00056E-001, 4.58766E+001, 1.26701E-001, 4.80389E+001, 1.97546E+000, 4.57471E+001, 2.08283E+000, 4.81236E+001, 2.65343E+000,-4.45E+001, 4.81803E+001
ZS05_SumElem_Wall:BearingWall, 1.73944E-002, 4.57478E+001, 1.06431E-002, 4.81698E+001, 1.93502E-001, 4.58766E+001, 1.09160E-001, 4.80382E+001, 1.93079E+000, 4.81824E+001, 1.86816E+000, 4.81278E+001, 2.46872E+000,-3.93E+001, 4.81761E+001
ZS04_SumElem_Wall:BearingWall, 1.68859E-002, 4.57478E+001, 8.57053E-003, 4.81740E+001, 1.86183E-001, 4.58773E+001, 8.71696E-002, 4.80431E+001, 1.93682E+000, 4.81803E+001, 1.55190E+000, 4.81411E+001, 2.28059E+000,-3.27E+001, 4.81740E+001
ZS08_SumForLm_0, 1.88065E-002, 4.57471E+001, 1.46935E-002, 4.81698E+001, 2.13770E-001, 4.58766E+001, 1.50132E-001, 4.64317E+001, 2.17230E+000, 4.57324E+001, 2.35262E+000, 4.81656E+001, 2.92183E+000,-4.91E+001, 4.81887E+001
ZS07_SumForLm_0, 1.83238E-002, 4.57471E+001, 1.37177E-002, 4.81691E+001, 2.06920E-001, 4.58766E+001, 1.39460E-001, 4.80396E+001, 2.06328E+000, 4.57394E+001, 2.15547E+000, 4.81670E+001, 2.81166E+000,-4.84E+001, 4.81824E+001
ZS06_SumForLm_0, 1.78431E-002, 4.57478E+001, 1.23780E-002, 4.81691E+001, 2.00056E-001, 4.58766E+001, 1.26701E-001, 4.80389E+001, 1.97546E+000, 4.57471E+001, 2.08283E+000, 4.81236E+001, 2.65343E+000,-4.45E+001, 4.81803E+001
ZS05_SumForLm_0, 1.73944E-002, 4.57478E+001, 1.06431E-002, 4.81698E+001, 1.93502E-001, 4.58766E+001, 1.09160E-001, 4.80382E+001, 1.93079E+000, 4.81824E+001, 1.86816E+000, 4.81278E+001, 2.46872E+000,-3.93E+001, 4.81761E+001
ZS04_SumForLm_0, 1.68859E-002, 4.57478E+001, 8.57053E-003, 4.81740E+001, 1.86183E-001, 4.58773E+001, 8.71696E-002, 4.80431E+001, 1.93682E+000, 4.81803E+001, 1.55190E+000, 4.81411E+001, 2.28059E+000,-3.27E+001, 4.81740E+001
ZS03_SumForLm_0, 1.35725E-002, 4.57492E+001, 6.41757E-003, 4.85625E+001, 1.47820E-001, 4.58773E+001, 6.17710E-002, 4.64555E+001, 1.59962E+000, 4.81628E+001, 1.26429E+000, 4.80893E+001, 1.97075E+000,-3.65E+001, 4.81593E+001
ZS02_SumForLm_0, 3.06144E-005, 4.57443E+001, 1.77235E-005, 4.81453E+001, 3.52722E-004, 4.58724E+001, 2.48864E-004, 4.80214E+001, 1.16676E+000, 4.80291E+001, 1.17992E+000, 4.84330E+001, 1.42871E+000,-3.54E+001, 4.80228E+001
ZS01_SumForLm_0, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 1.16241E+000, 4.80284E+001, 1.17705E+000, 4.84323E+001, 1.42498E+000,-3.56E+001, 4.80221E+001
ZS08_StiffCenter, 1.88058E-002, 4.57471E+001, 1.48359E-002, 4.81705E+001, 2.13757E-001, 4.58766E+001, 1.50513E-001, 4.90938E+001, 2.17220E+000, 4.57324E+001, 2.34029E+000, 4.81663E+001, 2.92099E+000,-4.83E+001, 4.81908E+001
ZS07_StiffCenter, 1.83238E-002, 4.57471E+001, 1.33033E-002, 4.81649E+001, 2.06919E-001, 4.58766E+001, 1.39811E-001, 4.80389E+001, 2.06327E+000, 4.57394E+001, 2.20577E+000, 4.81432E+001, 2.82484E+000,-4.95E+001, 4.81782E+001
ZS06_StiffCenter, 1.78431E-002, 4.57478E+001, 1.19189E-002, 4.81635E+001, 2.00056E-001, 4.58766E+001, 1.26863E-001, 4.80375E+001, 1.97546E+000, 4.57471E+001, 2.14921E+000, 4.81236E+001, 2.66572E+000,-4.51E+001, 4.81782E+001
ZS05_StiffCenter, 1.73928E-002, 4.57478E+001, 1.01667E-002, 4.81635E+001, 1.93473E-001, 4.58766E+001, 1.09055E-001, 4.80375E+001, 1.93075E+000, 4.81824E+001, 1.92782E+000, 4.81278E+001, 2.48230E+000,-4.00E+001, 4.81747E+001
ZS04_StiffCenter, 1.68879E-002, 4.57478E+001, 7.96756E-003, 4.81635E+001, 1.86219E-001, 4.58773E+001, 8.65731E-002, 4.80417E+001, 1.93687E+000, 4.81803E+001, 1.62365E+000, 4.80970E+001, 2.29803E+000,-3.62E+001, 4.81670E+001
ZS03_StiffCenter, 1.35721E-002, 4.57492E+001, 5.63881E-003, 4.81684E+001, 1.47812E-001, 4.58773E+001, 6.07377E-002, 4.80480E+001, 1.59962E+000, 4.81628E+001, 1.32290E+000, 4.80893E+001, 1.97304E+000,-3.70E+001, 4.81586E+001
ZS02_StiffCenter, 3.06145E-005, 4.57443E+001, 1.98758E-005, 4.81383E+001, 3.52724E-004, 4.58724E+001, 2.93635E-004, 4.62637E+001, 1.16676E+000, 4.80291E+001, 1.17980E+000, 4.84330E+001, 1.42923E+000,-3.55E+001, 4.80228E+001
ZS01_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 1.16241E+000, 4.80284E+001, 1.17705E+000, 4.84323E+001, 1.42498E+000,-3.56E+001, 4.80221E+001
